#Masse - Plot 0	Amplitude (V) - Plot 0	scangeschwindigkeit: 3 s/amu druck: 9.4 E -06 ausgangsdruck: 1.0 E -5 mbar
42,4945	-0,0247431	
42,4945	-0,0247431	
42,5241	-0,0393362	
42,5241	-0,0393362	
42,5539	-0,0816262	
42,5539	-0,0816262	
42,5832	-0,032397	
42,5832	-0,032397	
42,6127	-0,0416511	
42,6127	-0,0416511	
42,643	-0,0512433	
42,643	-0,0512433	
42,6723	0,0123255	
42,6723	0,0123255	
42,7018	-0,0701511	
42,7018	-0,0701511	
42,7312	-0,0221129	
42,7312	-0,0221129	
42,7611	-0,0280128	
42,7611	-0,0280128	
42,7905	-0,0647544	
42,7905	-0,0647544	
42,8198	-0,00514395	
42,8198	-0,00514395	
42,8491	-0,0241744	
42,8491	-0,0241744	
42,8783	-0,0296286	
42,8783	-0,0296286	
42,9084	-0,0546982	
42,9084	-0,0546982	
42,938	-0,0352151	
42,938	-0,0352151	
42,9673	-0,0270336	
42,9673	-0,0270336	
42,9968	-0,0203579	
42,9968	-0,0203579	
43,0271	-0,0188804	
43,0271	-0,0188804	
43,0571	-0,0128116	
43,0571	-0,0128116	
43,0861	-0,0676719	
43,0861	-0,0676719	
43,1156	-0,0208415	
43,1156	-0,0208415	
43,1455	-0,0113161	
43,1455	-0,0113161	
43,1752	-0,0471264	
43,1752	-0,0471264	
43,2046	-0,022199	
43,2046	-0,022199	
43,2343	-0,0386592	
43,2343	-0,0386592	
43,2638	-0,00416471	
43,2638	-0,00416471	
43,2932	0,0114353	
43,2932	0,0114353	
43,3223	-0,036808	
43,3223	-0,036808	
43,3517	-0,0197765	
43,3517	-0,0197765	
43,3817	-0,0278944	
43,3817	-0,0278944	
43,4109	-0,000200788	
43,4109	-0,000200788	
43,4405	-0,0244822	
43,4405	-0,0244822	
43,4703	-0,0385275	
43,4703	-0,0385275	
43,4998	-0,0612441	
43,4998	-0,0612441	
43,5298	-0,0185263	
43,5298	-0,0185263	
43,5592	-0,0199398	
43,5592	-0,0199398	
43,5884	-0,0155413	
43,5884	-0,0155413	
43,6184	-0,0238157	
43,6184	-0,0238157	
43,6476	-0,055111	
43,6476	-0,055111	
43,6773	-0,0114639	
43,6773	-0,0114639	
43,7066	-0,0574722	
43,7066	-0,0574722	
43,7363	-0,0171658	
43,7363	-0,0171658	
43,7658	0,00195791	
43,7658	0,00195791	
43,7954	-0,0332543	
43,7954	-0,0332543	
43,8248	-0,00919396	
43,8248	-0,00919396	
43,8548	-0,014921	
43,8548	-0,014921	
43,884	-0,0346402	
43,884	-0,0346402	
43,9131	-0,0344961	
43,9131	-0,0344961	
43,9431	-0,0319151	
43,9431	-0,0319151	
43,9731	-0,00042318	
43,9731	-0,00042318	
44,0022	-0,0332361	
44,0022	-0,0332361	
44,0319	-0,00687352	
44,0319	-0,00687352	
44,0613	-0,0321085	
44,0613	-0,0321085	
44,091	-0,0245005	
44,091	-0,0245005	
44,1205	0,0146065	
44,1205	0,0146065	
44,15	-0,0483486	
44,15	-0,0483486	
44,1793	-0,0200435	
44,1793	-0,0200435	
44,2085	-0,0224419	
44,2085	-0,0224419	
44,2385	0,000799649	
44,2385	0,000799649	
44,2683	-0,0511882	
44,2683	-0,0511882	
44,2973	-0,0164902	
44,2973	-0,0164902	
44,3271	-0,053804	
44,3271	-0,053804	
44,3572	0,0244097	
44,3572	0,0244097	
44,3869	0,0388984	
44,3869	0,0388984	
44,4161	-0,0153153	
44,4161	-0,0153153	
44,4459	-0,0169454	
44,4459	-0,0169454	
44,4749	-0,0364053	
44,4749	-0,0364053	
44,5047	0,00352868	
44,5047	0,00352868	
44,5345	-0,035233	
44,5345	-0,035233	
44,5635	0,0314362	
44,5635	0,0314362	
44,5935	0,0230046	
44,5935	0,0230046	
44,6228	0,0379968	
44,6228	0,0379968	
44,6526	-0,00950765	
44,6526	-0,00950765	
44,6823	0,0098538	
44,6823	0,0098538	
44,7116	-0,0405199	
44,7116	-0,0405199	
44,7413	0,00751379	
44,7413	0,00751379	
44,7705	0,0037752	
44,7705	0,0037752	
44,8003	-0,0129776	
44,8003	-0,0129776	
44,8296	-0,0037871	
44,8296	-0,0037871	
44,8593	0,0125228	
44,8593	0,0125228	
44,8887	-0,010499	
44,8887	-0,010499	
44,9188	0,00572161	
44,9188	0,00572161	
44,9479	-0,0435473	
44,9479	-0,0435473	
44,9776	-0,0209119	
44,9776	-0,0209119	
45,007	-0,0204397	
45,007	-0,0204397	
45,0365	0,00476357	
45,0365	0,00476357	
45,0658	-0,00794504	
45,0658	-0,00794504	
45,0954	-0,0318691	
45,0954	-0,0318691	
45,1251	-0,0260237	
45,1251	-0,0260237	
45,1547	-0,0115803	
45,1547	-0,0115803	
45,1844	-0,00652037	
45,1844	-0,00652037	
45,2138	-0,0452544	
45,2138	-0,0452544	
45,2433	-0,00389503	
45,2433	-0,00389503	
45,2732	0,0112638	
45,2732	0,0112638	
45,3025	-0,100454	
45,3025	-0,100454	
45,3319	-0,0153244	
45,3319	-0,0153244	
45,3617	-0,010964	
45,3617	-0,010964	
45,391	-0,00918287	
45,391	-0,00918287	
45,4202	-0,0214539	
45,4202	-0,0214539	
45,4501	0,00601705	
45,4501	0,00601705	
45,4794	-0,0384248	
45,4794	-0,0384248	
45,5092	-0,0218504	
45,5092	-0,0218504	
45,5388	-0,0354329	
45,5388	-0,0354329	
45,568	-0,0239814	
45,568	-0,0239814	
45,5973	-0,0224872	
45,5973	-0,0224872	
45,627	0,0308926	
45,627	0,0308926	
45,6565	-0,0410214	
45,6565	-0,0410214	
45,6863	0,00329324	
45,6863	0,00329324	
45,7158	-0,013289	
45,7158	-0,013289	
45,7451	-0,0102753	
45,7451	-0,0102753	
45,775	-0,0140905	
45,775	-0,0140905	
45,8045	-0,0247425	
45,8045	-0,0247425	
45,8334	-0,0277881	
45,8334	-0,0277881	
45,863	-0,0293573	
45,863	-0,0293573	
45,8925	-0,0179693	
45,8925	-0,0179693	
45,9223	-0,032355	
45,9223	-0,032355	
45,9519	-0,0162414	
45,9519	-0,0162414	
45,9822	-0,0314873	
45,9822	-0,0314873	
46,0113	-0,0129185	
46,0113	-0,0129185	
46,0408	-0,0277907	
46,0408	-0,0277907	
46,0702	0,0361518	
46,0702	0,0361518	
46,0998	-0,079921	
46,0998	-0,079921	
46,129	-0,0295412	
46,129	-0,0295412	
46,159	-0,00970428	
46,159	-0,00970428	
46,1882	-0,0304382	
46,1882	-0,0304382	
46,2177	-0,017471	
46,2177	-0,017471	
46,2473	-0,0210068	
46,2473	-0,0210068	
46,2763	0,0235674	
46,2763	0,0235674	
46,3066	0,001879	
46,3066	0,001879	
46,3365	-0,0115692	
46,3365	-0,0115692	
46,3655	-0,0175555	
46,3655	-0,0175555	
46,3957	-0,0196976	
46,3957	-0,0196976	
46,4248	-0,00921874	
46,4248	-0,00921874	
46,4548	-0,0209745	
46,4548	-0,0209745	
46,4843	-0,0115878	
46,4843	-0,0115878	
46,514	-0,0209015	
46,514	-0,0209015	
46,5434	-0,0235597	
46,5434	-0,0235597	
46,573	-0,033898	
46,573	-0,033898	
46,6026	0,0183803	
46,6026	0,0183803	
46,6323	-0,0273952	
46,6323	-0,0273952	
46,6616	-0,0265963	
46,6616	-0,0265963	
46,6908	-0,0126352	
46,6908	-0,0126352	
46,72	-0,0659247	
46,72	-0,0659247	
46,7501	-0,0562504	
46,7501	-0,0562504	
46,7796	-0,00827015	
46,7796	-0,00827015	
46,8092	-0,0132039	
46,8092	-0,0132039	
46,8388	0,0394459	
46,8388	0,0394459	
46,8685	-0,0334555	
