#Masse - Plot 0	Amplitude (V) - Plot 0	scangeschw: 10 s/amu druck 1.1 E-5 mbar
38,6495	0,000826714	
38,6495	0,000826714	
38,6791	0,00251943	
38,6791	0,00251943	
38,7082	-0,0281625	
38,7082	-0,0281625	
38,7375	-0,021223	
38,7375	-0,021223	
38,7673	-0,0021622	
38,7673	-0,0021622	
38,7968	-0,0289549	
38,7968	-0,0289549	
38,8266	-0,0282261	
38,8266	-0,0282261	
38,8556	-0,0137651	
38,8556	-0,0137651	
38,8855	0,00646836	
38,8855	0,00646836	
38,9148	-0,0152377	
38,9148	-0,0152377	
38,9445	0,00820705	
38,9445	0,00820705	
38,9739	-0,0105479	
38,9739	-0,0105479	
39,0031	0,000567148	
39,0031	0,000567148	
39,033	-0,0180202	
39,033	-0,0180202	
39,0625	-0,0157692	
39,0625	-0,0157692	
39,0924	0,00396335	
39,0924	0,00396335	
39,122	-0,0089533	
39,122	-0,0089533	
39,1514	-0,00393319	
39,1514	-0,00393319	
39,1798	0,00946477	
39,1798	0,00946477	
39,2097	0,0115018	
39,2097	0,0115018	
39,2397	-0,0434798	
39,2397	-0,0434798	
39,2688	-0,00713798	
39,2688	-0,00713798	
39,2987	0,0173163	
39,2987	0,0173163	
39,3281	-3,51355E-5	
39,3281	-3,51355E-5	
39,3575	0,0253739	
39,3575	0,0253739	
39,3874	0,0135295	
39,3874	0,0135295	
39,4165	0,00855858	
39,4165	0,00855858	
39,446	0,0145012	
39,446	0,0145012	
39,4755	0,0288367	
39,4755	0,0288367	
39,5052	0,0252067	
39,5052	0,0252067	
39,5347	0,0235407	
39,5347	0,0235407	
39,5643	0,00763738	
39,5643	0,00763738	
39,5932	0,0446708	
39,5932	0,0446708	
39,6228	0,0601368	
39,6228	0,0601368	
39,6531	0,00110128	
39,6531	0,00110128	
39,6825	0,0374891	
39,6825	0,0374891	
39,7126	0,00760542	
39,7126	0,00760542	
39,7421	0,00327857	
39,7421	0,00327857	
39,7716	0,0185792	
39,7716	0,0185792	
39,8009	0,0023078	
39,8009	0,0023078	
39,8312	-0,000789376	
39,8312	-0,000789376	
39,8599	-0,00981678	
39,8599	-0,00981678	
39,8895	0,0327207	
39,8895	0,0327207	
39,9188	-0,0133832	
39,9188	-0,0133832	
39,9491	-0,0117939	
39,9491	-0,0117939	
39,9783	-0,00974505	
39,9783	-0,00974505	
40,0072	-0,00992928	
40,0072	-0,00992928	
40,0374	-0,0164429	
40,0374	-0,0164429	
40,0671	-0,0141753	
40,0671	-0,0141753	
40,0966	-0,0207176	
40,0966	-0,0207176	
40,1261	-0,0108316	
40,1261	-0,0108316	
40,1559	-0,0106323	
40,1559	-0,0106323	
40,1856	-0,0149318	
40,1856	-0,0149318	
40,2151	0,00418118	
40,2151	0,00418118	
40,2444	0,00294726	
40,2444	0,00294726	
40,2741	0,00357694	
40,2741	0,00357694	
40,3037	-0,014036	
40,3037	-0,014036	
40,3332	0,00455324	
40,3332	0,00455324	
40,3629	0,00505998	
40,3629	0,00505998	
40,393	0,0184544	
40,393	0,0184544	
40,4228	0,00680227	
40,4228	0,00680227	
40,4522	0,0427544	
40,4522	0,0427544	
40,4817	0,0195096	
40,4817	0,0195096	
40,5113	-0,0079258	
40,5113	-0,0079258	
40,5408	0,0210712	
40,5408	0,0210712	
40,5702	0,0127243	
40,5702	0,0127243	
40,5996	0,0135979	
40,5996	0,0135979	
40,629	0,0249406	
40,629	0,0249406	
40,6587	0,0182088	
40,6587	0,0182088	
40,6881	0,0187534	
40,6881	0,0187534	
40,7175	0,00283639	
40,7175	0,00283639	
40,7478	0,019627	
40,7478	0,019627	
40,777	0,0153767	
40,777	0,0153767	
40,8067	0,0217948	
40,8067	0,0217948	
40,8361	-0,0181464	
40,8361	-0,0181464	
40,8652	-0,0248171	
40,8652	-0,0248171	
40,895	0,00126726	
40,895	0,00126726	
40,924	-0,0147948	
40,924	-0,0147948	
40,9536	-0,0135234	
40,9536	-0,0135234	
40,9835	-0,025514	
40,9835	-0,025514	
41,0132	0,00610477	
41,0132	0,00610477	
41,0425	-0,000251005	
41,0425	-0,000251005	
41,0727	-0,0205633	
41,0727	-0,0205633	
41,1024	-0,0118715	
41,1024	-0,0118715	
41,1311	-0,0289255	
41,1311	-0,0289255	
41,1603	0,0274068	
41,1603	0,0274068	
41,1899	0,00354172	
41,1899	0,00354172	
41,2192	0,00354009	
41,2192	0,00354009	
41,2484	0,00465498	
41,2484	0,00465498	
41,2788	-0,00522286	
41,2788	-0,00522286	
41,3085	0,0131401	
41,3085	0,0131401	
41,3388	0,0331078	
41,3388	0,0331078	
41,3679	0,0318569	
41,3679	0,0318569	
41,3979	0,0136472	
41,3979	0,0136472	
41,4269	0,0302506	
41,4269	0,0302506	
41,4562	0,0300435	
41,4562	0,0300435	
41,4858	0,0081676	
41,4858	0,0081676	
41,5154	0,0645693	
41,5154	0,0645693	
41,5447	0,0815331	
41,5447	0,0815331	
41,5748	0,0272333	
41,5748	0,0272333	
41,6041	0,00585368	
41,6041	0,00585368	
41,6332	0,0462872	
41,6332	0,0462872	
41,6629	0,0592283	
