Masse - Plot 0	Amplitude (V) - Plot 0	scangeschw: 10 s/amu druck 1.2 E -5mbar
34,4256	-0,0225929	
34,4555	-0,0172754	
34,4555	-0,0172754	
34,485	-0,0111352	
34,485	-0,0111352	
34,5141	-0,0285486	
34,5141	-0,0285486	
34,5438	-0,0261225	
34,5438	-0,0261225	
34,5734	-0,017265	
34,5734	-0,017265	
34,6034	0,0104499	
34,6034	0,0104499	
34,6329	0,00334085	
34,6329	0,00334085	
34,6624	-0,00692178	
34,6624	-0,00692178	
34,692	-0,00810939	
34,692	-0,00810939	
34,7214	-0,0284302	
34,7214	-0,0284302	
34,7508	-0,00945678	
34,7508	-0,00945678	
34,7803	-0,0299028	
34,7803	-0,0299028	
34,8098	-0,021809	
34,8098	-0,021809	
34,839	-0,0261215	
34,839	-0,0261215	
34,869	-0,0102736	
34,869	-0,0102736	
34,899	-0,0348959	
34,899	-0,0348959	
34,9283	-0,0350279	
34,9283	-0,0350279	
34,9577	-0,0051896	
34,9577	-0,0051896	
34,987	0,00055867	
34,987	0,00055867	
35,0165	-0,0225166	
35,0165	-0,0225166	
35,0464	-0,023113	
35,0464	-0,023113	
35,0759	-0,0382144	
35,0759	-0,0382144	
35,1055	-0,041102	
35,1055	-0,041102	
35,1351	-0,015071	
35,1351	-0,015071	
35,1645	0,000964323	
35,1645	0,000964323	
35,1942	-0,0141221	
35,1942	-0,0141221	
35,224	-0,0210381	
35,224	-0,0210381	
35,2531	-0,0154124	
35,2531	-0,0154124	
35,2829	-0,00410014	
35,2829	-0,00410014	
35,3126	-0,0188113	
35,3126	-0,0188113	
35,3417	-0,0191993	
35,3417	-0,0191993	
35,3716	-0,028498	
35,3716	-0,028498	
35,4006	-0,0228574	
35,4006	-0,0228574	
35,4307	-0,0142591	
35,4307	-0,0142591	
35,4601	-0,0251175	
35,4601	-0,0251175	
35,4898	-0,010375	
35,4898	-0,010375	
35,5196	0,0166152	
35,5196	0,0166152	
35,5486	-0,017726	
35,5486	-0,017726	
35,5778	-0,0343294	
35,5778	-0,0343294	
35,6074	-0,0238278	
35,6074	-0,0238278	
35,6374	-0,00606971	
35,6374	-0,00606971	
35,6672	-0,0245556	
35,6672	-0,0245556	
35,6965	0,000576605	
35,6965	0,000576605	
35,7259	-0,00841004	
35,7259	-0,00841004	
35,7557	-0,0150961	
35,7557	-0,0150961	
35,7854	-0,0233794	
35,7854	-0,0233794	
35,8147	-0,0137944	
35,8147	-0,0137944	
35,844	-0,0131941	
35,844	-0,0131941	
35,8732	-0,0117961	
35,8732	-0,0117961	
35,903	-0,0137201	
35,903	-0,0137201	
35,9325	-0,0299387	
35,9325	-0,0299387	
35,9625	-0,0232659	
35,9625	-0,0232659	
35,9919	-0,0187147	
35,9919	-0,0187147	
36,022	0,0153604	
36,022	0,0153604	
36,0513	-0,010589	
36,0513	-0,010589	
36,0809	-0,023518	
36,0809	-0,023518	
36,1105	-0,0203967	
36,1105	-0,0203967	
36,14	-0,0251618	
36,14	-0,0251618	
36,1699	-0,0261521	
36,1699	-0,0261521	
36,1987	-0,0106424	
36,1987	-0,0106424	
36,2286	-0,0229933	
36,2286	-0,0229933	
36,2572	-0,00900874	
36,2572	-0,00900874	
36,2876	-0,00960744	
36,2876	-0,00960744	
36,3177	-0,0137543	
36,3177	-0,0137543	
36,3468	-0,0183453	
36,3468	-0,0183453	
36,3765	-0,0140057	
36,3765	-0,0140057	
36,4062	-0,0118669	
36,4062	-0,0118669	
36,4357	-0,00414677	
36,4357	-0,00414677	
36,4652	0,000926823	
36,4652	0,000926823	
36,4946	-0,0262783	
36,4946	-0,0262783	
36,5248	-0,0177551	
36,5248	-0,0177551	
36,554	-0,0230188	
36,554	-0,0230188	
36,5839	-0,0055721	
36,5839	-0,0055721	
36,613	-0,0340653	
36,613	-0,0340653	
36,6425	0,00501596	
36,6425	0,00501596	
36,672	-0,0165528	
36,672	-0,0165528	
36,7018	-0,0229487	
36,7018	-0,0229487	
36,7315	-0,0422739	
36,7315	-0,0422739	
36,7616	-0,00603286	
36,7616	-0,00603286	
36,7909	-0,00197731	
36,7909	-0,00197731	
36,8197	-0,0248537	
36,8197	-0,0248537	
36,8499	-0,0386553	
36,8499	-0,0386553	
36,8794	-0,00412884	
36,8794	-0,00412884	
36,9091	-0,0203996	
36,9091	-0,0203996	
36,9385	-0,0201697	
36,9385	-0,0201697	
36,9679	-0,0239784	
36,9679	-0,0239784	
36,9978	0,00338291	
36,9978	0,00338291	
37,0265	0,00526966	
